ID,EUR,USD,CHF,JPY
1,8000,7000,0,0
2,10000,7000,0,0
3,10000,7000,0,0
4,10000,7000,0,0
5,10000,7000,0,0
6,10000,7000,0,0
7,10000,7000,0,0
8,10000,6000,0,0
9,10000,6000,0,0
10,10000,6000,0,0
11,10000,6000,0,0
12,10000,6000,0,0
13,10000,6000,0,0
14,13000,6000,0,0
15,14000,6000,0,0
16,12000,5000,0,0
17,13000,5000,0,0
18,14000,4000,0,260
19,14000,4000,0,530
20,15000,4000,1000,660
21,15000,4000,1000,660
22,14000,4000,1000,1060
23,14000,5000,1000,1030
24,14000,5000,1000,1360
25,14000,5000,1000,1300
26,14000,5000,1000,1330
27,17000,5000,1000,1270
28,17000,5000,1000,1730
29,17000,5000,1000,1520
30,17000,5000,1000,1600
31,17000,5000,1000,1640
32,17000,5000,1000,1540
33,17000,5000,1000,1480
34,17000,5000,2000,2030
35,16000,4000,2000,2430
36,16000,4000,2000,2950
37,16000,4000,2000,3090
38,18000,4000,2000,3090
39,18000,4000,2000,3090
40,18000,4000,2000,3090
41,18000,4000,2000,3090
42,18000,4000,4000,3090
43,18000,4000,4000,3090
44,18000,4000,4000,3090
45,18000,4000,4000,3090
46,18000,4000,4000,3090
47,18000,4000,4000,3090
48,18000,4000,4000,3590
49,18000,4000,4000,3590
50,18000,4000,4000,3590
51,18000,4000,4000,3590
52,18000,4000,4000,3590
53,18000,4000,4000,3590
54,18000,4000,4000,3590
55,20000,4000,4000,3840
56,20000,4000,4000,3840
57,20000,4000,4000,3840
58,20000,4000,4000,3840
59,20000,4000,4000,3840
60,19000,4000,4000,3840
61,20000,4000,4000,3840
62,18000,4000,4000,3840
63,19000,4000,4000,3840
64,19000,4000,4000,3840
65,19000,4000,4000,3840
66,20000,4000,4000,3840
67,20000,4000,4000,3340
68,20000,8000,4000,3340
69,20000,7000,4000,3340
70,20000,7000,5000,3340
71,21000,7000,5000,3340
72,21000,7000,5000,3780
73,21000,7000,5000,3780
74,24000,7000,5000,3780
75,24000,7000,5000,3780
76,24000,7000,5000,3780
77,24000,7000,5000,3780
78,24000,7000,5000,3780
79,24000,7000,5000,3780
80,24000,9000,5000,3530
81,24000,9000,5000,3530
82,25000,9000,5000,3530
83,26000,9000,5000,3530
84,26000,9000,5000,3530
85,25000,9000,5000,3530
86,26000,9000,5000,3710
87,25000,9000,5000,3710
88,25000,9000,5000,3710
89,25000,10000,5000,3710
90,25000,10000,5000,3710
91,26000,11000,5000,3710
92,26000,11000,5000,4060
93,26000,11000,5000,4060
94,26000,11000,5000,4060
95,26000,11000,5000,4060
96,26000,13000,5000,4060
97,26000,13000,5000,4060
98,27000,13000,5000,4060
99,27000,14000,5000,4060
100,26000,14000,5000,4060
101,26000,14000,5000,4060
102,26000,14000,5000,4310
103,28000,14000,5000,3560
104,28000,13000,5000,3560
105,28000,13000,5000,3560
106,28000,14000,5000,3560
107,30000,14000,5000,3560
108,30000,14000,5000,3990
109,30000,14000,5000,3990
110,31000,14000,5000,3990
111,29000,14000,5000,3990
112,29000,14000,5000,3990
113,29000,14000,5000,3990
114,29000,14000,5000,3990
115,29000,14000,5000,3990
116,29000,14000,5000,3990
117,29000,14000,5000,3990
118,29000,14000,5000,3990
119,29000,14000,5000,3990
120,29000,14000,5000,4590
121,29000,14000,5000,4590
122,31000,15000,5000,4590
123,30000,15000,5000,4590
124,30000,15000,4000,4590
125,30000,15000,4000,4590
126,30000,15000,4000,4590
127,30000,15000,4000,4590
128,30000,15000,4000,4590
129,30000,15000,4000,4590
130,30000,15000,4000,4590
131,30000,15000,4000,4590
132,30000,15000,4000,4380
133,30000,15000,4000,4380
134,30000,15000,4000,4380
135,30000,15000,4000,4380
136,30000,15000,4000,4380
137,31000,14000,4000,4380
138,31000,14000,3000,4380
139,31000,14000,3000,4380
140,31000,14000,3000,4130
141,31000,14000,3000,4130
142,32000,13000,3000,4130
143,34000,13000,3000,4130
144,33000,13000,3000,4130
145,33000,13000,3000,4130
146,35000,13000,3000,4130
147,33000,13000,3000,4130
148,33000,13000,3000,4130
149,33000,15000,3000,4130
150,33000,14000,3000,4130
151,33000,15000,3000,4130
152,33000,15000,3000,4130
153,33000,14000,3000,4130
154,33000,15000,3000,4130
155,35000,14000,3000,4130
156,35000,14000,3000,3880
157,36000,14000,3000,3880
158,35000,14000,3000,3880
159,35000,14000,3000,3880
160,35000,14000,3000,3880
161,35000,14000,3000,3880
162,35000,14000,3000,3630
163,35000,14000,3000,3630
164,35000,14000,3000,3630
165,35000,14000,3000,3630
166,35000,14000,3000,3630
167,35000,14000,3000,3630
168,35000,14000,3000,3070
169,35000,13000,3000,3070
170,35000,13000,3000,3070
171,36000,13000,3000,3070
172,36000,13000,3000,3070
173,36000,13000,3000,3070
174,36000,13000,1000,3070
175,34000,13000,1000,3070
176,34000,13000,1000,3070
177,34000,13000,1000,3070
178,34000,13000,1000,3070
